epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
21,2020-05-23,11,AM,Itamarati,1301951,city,4,50.94892,0,0,0,0.0,7851,False,False
21,2020-05-23,28,AM,Itapiranga,1302009,city,280,3060.77831,77,3,0,0.0107,9148,False,False
21,2020-05-23,13,AM,Japurá,1302108,city,32,1161.5245,0,0,0,0.0,2755,False,False
21,2020-05-23,35,AM,Juruá,1302207,city,9,61.17455,4,0,0,0.0,14712,False,False
21,2020-05-23,48,AM,Jutaí,1302306,city,61,426.06691,2,7,1,0.1148,14317,False,False
21,2020-05-23,40,AM,Lábrea,1302405,city,45,97.67957,1,0,0,0.0,46069,False,False
21,2020-05-23,58,AM,Manacapuru,1302504,city,1904,1955.28718,116,81,4,0.0425,97377,False,False
21,2020-05-23,31,AM,Manaquiri,1302553,city,92,286.55973,3,6,0,0.0652,32105,False,False
21,2020-05-23,72,AM,Manaus,1302603,city,13624,624.16304,657,1176,49,0.0863,2182763,False,False
21,2020-05-23,46,AM,Manicoré,1302702,city,42,75.33497,5,2,0,0.0476,55751,False,False
21,2020-05-23,32,AM,Maraã,1302801,city,79,433.49429,10,1,0,0.0127,18224,False,False
21,2020-05-23,44,AM,Maués,1302900,city,533,834.05054,66,26,2,0.0488,63905,False,False
21,2020-05-23,31,AM,Nhamundá,1303007,city,37,174.75086,1,1,0,0.027,21173,False,False
21,2020-05-23,32,AM,Nova Olinda do Norte,1303106,city,72,192.62668,7,5,1,0.0694,37378,False,False
21,2020-05-23,55,AM,Novo Airão,1303205,city,98,503.75244,8,4,0,0.0408,19454,False,False
21,2020-05-23,30,AM,Novo Aripuanã,1303304,city,131,510.84074,12,5,0,0.0382,25644,False,False
21,2020-05-23,63,AM,Parintins,1303403,city,881,770.96077,44,46,1,0.0522,114273,False,False
